Area,Date,Confirmed,Deaths
Brandenburg,2020-03-06T15:00:00,2,0
Berlin,2020-03-06T15:00:00,19,0
Baden-Württemberg,2020-03-06T15:00:00,96,0
Bayern,2020-03-06T15:00:00,117,0
Bremen,2020-03-06T15:00:00,4,0
Hessen,2020-03-06T15:00:00,16,0
Hamburg,2020-03-06T15:00:00,11,0
Mecklenburg-Vorpommern,2020-03-06T15:00:00,5,0
Niedersachsen,2020-03-06T15:00:00,18,0
Nordrhein-Westfalen,2020-03-06T15:00:00,329,0
Rheinland-Pfalz,2020-03-06T15:00:00,10,0
Saarland,2020-03-06T15:00:00,2,0
Schleswig-Holstein,2020-03-06T15:00:00,7,0
Sachsen,2020-03-06T15:00:00,2,0
Thüringen,2020-03-06T15:00:00,1,0
