Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-17T15:00:00,1479,2
Bayern,2020-03-17T15:00:00,1109,4
Berlin,2020-03-17T15:00:00,345,0
Brandenburg,2020-03-17T15:00:00,73,0
Bremen,2020-03-17T15:00:00,57,0
Hamburg,2020-03-17T15:00:00,310,0
Hessen,2020-03-17T15:00:00,373,0
Mecklenburg-Vorpommern,2020-03-17T15:00:00,45,0
Niedersachsen,2020-03-17T15:00:00,325,0
Nordrhein-Westfalen,2020-03-17T15:00:00,2105,6
Rheinland-Pfalz,2020-03-17T15:00:00,442,0
Saarland,2020-03-17T15:00:00,75,0
Sachsen,2020-03-17T15:00:00,182,0
Sachsen-Anhalt,2020-03-17T15:00:00,58,0
Schleswig-Holstein,2020-03-17T15:00:00,127,0
Thüringen,2020-03-17T15:00:00,51,0
