Area,Date,Confirmed
,2020-03-19T11:00:00+01:00,1
Aichach-Friedberg,2020-03-19T11:00:00+01:00,17
Altötting,2020-03-19T11:00:00+01:00,7
Amberg Stadt,2020-03-19T11:00:00+01:00,2
Amberg-Sulzbach,2020-03-19T11:00:00+01:00,17
Ansbach,2020-03-19T11:00:00+01:00,8
Ansbach Stadt,2020-03-19T11:00:00+01:00,3
Aschaffenburg,2020-03-19T11:00:00+01:00,26
Aschaffenburg Stadt,2020-03-19T11:00:00+01:00,20
Augsburg,2020-03-19T11:00:00+01:00,41
Augsburg Stadt,2020-03-19T11:00:00+01:00,26
Bad Kissingen,2020-03-19T11:00:00+01:00,9
Bad Tölz,2020-03-19T11:00:00+01:00,21
Bamberg,2020-03-19T11:00:00+01:00,15
Bamberg Stadt,2020-03-19T11:00:00+01:00,10
Bayreuth,2020-03-19T11:00:00+01:00,9
Bayreuth Stadt,2020-03-19T11:00:00+01:00,2
Berchtesgadener Land,2020-03-19T11:00:00+01:00,8
Cham,2020-03-19T11:00:00+01:00,31
Coburg,2020-03-19T11:00:00+01:00,12
Dachau,2020-03-19T11:00:00+01:00,15
Deggendorf,2020-03-19T11:00:00+01:00,26
Dingolfing-Landau,2020-03-19T11:00:00+01:00,18
Donau-Ries,2020-03-19T11:00:00+01:00,9
Ebersberg,2020-03-19T11:00:00+01:00,39
Eichstätt,2020-03-19T11:00:00+01:00,6
Erding,2020-03-19T11:00:00+01:00,35
Erlangen Stadt,2020-03-19T11:00:00+01:00,13
Erlangen-Höchstadt,2020-03-19T11:00:00+01:00,14
Forchheim,2020-03-19T11:00:00+01:00,14
Freising,2020-03-19T11:00:00+01:00,130
Freyung-Grafenau,2020-03-19T11:00:00+01:00,14
Fürstenfeldbruck,2020-03-19T11:00:00+01:00,24
Fürth,2020-03-19T11:00:00+01:00,4
Fürth Stadt,2020-03-19T11:00:00+01:00,12
Garmisch-Partenkirchen,2020-03-19T11:00:00+01:00,20
Günzburg,2020-03-19T11:00:00+01:00,88
Haßberge,2020-03-19T11:00:00+01:00,8
Hof,2020-03-19T11:00:00+01:00,9
Hof Stadt,2020-03-19T11:00:00+01:00,8
Ingolstadt Stadt,2020-03-19T11:00:00+01:00,3
Kaufbeuren Stadt,2020-03-19T11:00:00+01:00,4
Kelheim,2020-03-19T11:00:00+01:00,10
Kitzingen,2020-03-19T11:00:00+01:00,7
Kronach,2020-03-19T11:00:00+01:00,4
Kulmbach,2020-03-19T11:00:00+01:00,11
Landsberg am Lech,2020-03-19T11:00:00+01:00,14
Landshut,2020-03-19T11:00:00+01:00,36
Landshut Stadt,2020-03-19T11:00:00+01:00,12
Lichtenfels,2020-03-19T11:00:00+01:00,5
Lindau (Bodensee),2020-03-19T11:00:00+01:00,23
Main-Spessart,2020-03-19T11:00:00+01:00,9
Memmingen Stadt,2020-03-19T11:00:00+01:00,8
Miesbach,2020-03-19T11:00:00+01:00,47
Miltenberg,2020-03-19T11:00:00+01:00,15
Mühldorf a.Inn,2020-03-19T11:00:00+01:00,10
München,2020-03-19T11:00:00+01:00,133
München Stadt,2020-03-19T11:00:00+01:00,321
Neu-Ulm,2020-03-19T11:00:00+01:00,19
Neumarkt i.d.Opf.,2020-03-19T11:00:00+01:00,18
Neustadt a.d. Aisch-Bad Windsheim,2020-03-19T11:00:00+01:00,4
Neustadt a.d. Waldnaab,2020-03-19T11:00:00+01:00,2
Nürnberg Stadt,2020-03-19T11:00:00+01:00,51
Nürnberger Land,2020-03-19T11:00:00+01:00,18
Oberallgäu,2020-03-19T11:00:00+01:00,40
Ostallgäu,2020-03-19T11:00:00+01:00,16
Passau,2020-03-19T11:00:00+01:00,22
Passau Stadt,2020-03-19T11:00:00+01:00,5
Pfaffenhofen a.d.Ilm,2020-03-19T11:00:00+01:00,19
Regen,2020-03-19T11:00:00+01:00,20
Regensburg,2020-03-19T11:00:00+01:00,44
Regensburg Stadt,2020-03-19T11:00:00+01:00,46
Rhön-Grabfeld,2020-03-19T11:00:00+01:00,3
Rosenheim,2020-03-19T11:00:00+01:00,58
Rosenheim Stadt,2020-03-19T11:00:00+01:00,1
Roth,2020-03-19T11:00:00+01:00,8
Rottal-Inn,2020-03-19T11:00:00+01:00,38
Schwabach Stadt,2020-03-19T11:00:00+01:00,6
Schwandorf,2020-03-19T11:00:00+01:00,18
Schweinfurt,2020-03-19T11:00:00+01:00,16
Schweinfurt Stadt,2020-03-19T11:00:00+01:00,2
Starnberg,2020-03-19T11:00:00+01:00,62
Straubing Stadt,2020-03-19T11:00:00+01:00,13
Straubing-Bogen,2020-03-19T11:00:00+01:00,14
Tirschenreuth,2020-03-19T11:00:00+01:00,44
Traunstein,2020-03-19T11:00:00+01:00,20
Unterallgäu,2020-03-19T11:00:00+01:00,18
Weiden Stadt,2020-03-19T11:00:00+01:00,7
Weilheim-Schongau,2020-03-19T11:00:00+01:00,37
Weißenburg-Gunzenhausen,2020-03-19T11:00:00+01:00,7
Wunsiedel i.Fichtelgebirge,2020-03-19T11:00:00+01:00,16
Würzburg,2020-03-19T11:00:00+01:00,65
Würzburg Stadt,2020-03-19T11:00:00+01:00,42
