Kommune,Timestamp,Confirmed
Altomünster,2022-04-21T21:15:13+02:00,2976
Bergkirchen,2022-04-21T21:15:13+02:00,2810
Dachau,2022-04-21T21:15:13+02:00,17327
Erdweg,2022-04-21T21:15:13+02:00,2225
Haimhausen,2022-04-21T21:15:13+02:00,1922
Hebertshausen,2022-04-21T21:15:13+02:00,1893
Hilgertshausen-Tandern,2022-04-21T21:15:13+02:00,1091
Karlsfeld,2022-04-21T21:15:13+02:00,8264
Markt Indersdorf,2022-04-21T21:15:13+02:00,3755
Odelzhausen,2022-04-21T21:15:13+02:00,1912
Petershausen,2022-04-21T21:15:13+02:00,2218
Pfaffenhofen a.d. Glonn,2022-04-21T21:15:13+02:00,758
Röhrmoos,2022-04-21T21:15:13+02:00,2522
Schwabhausen,2022-04-21T21:15:13+02:00,2262
Sulzemoos,2022-04-21T21:15:13+02:00,1088
Vierkirchen,2022-04-21T21:15:13+02:00,1555
Weichs,2022-04-21T21:15:13+02:00,1263
