Kommune,Timestamp,Recovered
Altomünster,2021-08-02T21:13:16+02:00,407
Bergkirchen,2021-08-02T21:13:16+02:00,368
Dachau,2021-08-02T21:13:16+02:00,2563
Erdweg,2021-08-02T21:13:16+02:00,321
Haimhausen,2021-08-02T21:13:16+02:00,230
Hebertshausen,2021-08-02T21:13:16+02:00,223
Hilgertshausen-Tandern,2021-08-02T21:13:16+02:00,151
Karlsfeld,2021-08-02T21:13:16+02:00,1427
Markt Indersdorf,2021-08-02T21:13:16+02:00,571
Odelzhausen,2021-08-02T21:13:16+02:00,248
Petershausen,2021-08-02T21:13:16+02:00,268
Pfaffenhofen a.d. Glonn,2021-08-02T21:13:16+02:00,96
Röhrmoos,2021-08-02T21:13:16+02:00,401
Schwabhausen,2021-08-02T21:13:16+02:00,305
Sulzemoos,2021-08-02T21:13:16+02:00,131
Vierkirchen,2021-08-02T21:13:16+02:00,236
Weichs,2021-08-02T21:13:16+02:00,180
