Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-18T12:00:00+01:00,15
Altötting,Oberbayern,2020-03-18T12:00:00+01:00,1
Amberg Stadt,Oberpfalz,2020-03-18T12:00:00+01:00,2
Amberg-Sulzbach,Oberpfalz,2020-03-18T12:00:00+01:00,15
Ansbach,Mittelfranken,2020-03-18T12:00:00+01:00,4
Aschaffenburg,Unterfranken,2020-03-18T12:00:00+01:00,22
Aschaffenburg Stadt,Unterfranken,2020-03-18T12:00:00+01:00,19
Augsburg,Schwaben,2020-03-18T12:00:00+01:00,41
Augsburg Stadt,Schwaben,2020-03-18T12:00:00+01:00,22
Bad Kissingen,Unterfranken,2020-03-18T12:00:00+01:00,7
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-18T12:00:00+01:00,11
Bamberg,Oberfranken,2020-03-18T12:00:00+01:00,10
Bamberg Stadt,Oberfranken,2020-03-18T12:00:00+01:00,7
Bayreuth,Oberfranken,2020-03-18T12:00:00+01:00,7
Berchtesgadener Land,Oberbayern,2020-03-18T12:00:00+01:00,10
Cham,Oberpfalz,2020-03-18T12:00:00+01:00,29
Coburg,Oberfranken,2020-03-18T12:00:00+01:00,8
Dachau,Oberbayern,2020-03-18T12:00:00+01:00,15
Deggendorf,Niederbayern,2020-03-18T12:00:00+01:00,22
Dingolfing-Landau,Niederbayern,2020-03-18T12:00:00+01:00,17
Donau-Ries,Schwaben,2020-03-18T12:00:00+01:00,9
Ebersberg,Oberbayern,2020-03-18T12:00:00+01:00,34
Eichstätt,Oberbayern,2020-03-18T12:00:00+01:00,3
Erding,Oberbayern,2020-03-18T12:00:00+01:00,25
Erlangen Stadt,Mittelfranken,2020-03-18T12:00:00+01:00,9
Erlangen-Höchstadt,Mittelfranken,2020-03-18T12:00:00+01:00,10
Forchheim,Oberfranken,2020-03-18T12:00:00+01:00,8
Freising,Oberbayern,2020-03-18T12:00:00+01:00,105
Freyung-Grafenau,Niederbayern,2020-03-18T12:00:00+01:00,8
Fürstenfeldbruck,Oberbayern,2020-03-18T12:00:00+01:00,23
Fürth,Mittelfranken,2020-03-18T12:00:00+01:00,3
Fürth Stadt,Mittelfranken,2020-03-18T12:00:00+01:00,10
Garmisch-Partenkirchen,Oberbayern,2020-03-18T12:00:00+01:00,8
Haßberge,Unterfranken,2020-03-18T12:00:00+01:00,8
Hof,Oberfranken,2020-03-18T12:00:00+01:00,6
Hof Stadt,Oberfranken,2020-03-18T12:00:00+01:00,5
Ingolstadt Stadt,Oberbayern,2020-03-18T12:00:00+01:00,2
Kaufbeuren Stadt,Schwaben,2020-03-18T12:00:00+01:00,4
Kelheim,Niederbayern,2020-03-18T12:00:00+01:00,6
Kitzingen,Unterfranken,2020-03-18T12:00:00+01:00,6
Kronach,Oberfranken,2020-03-18T12:00:00+01:00,4
Kulmbach,Oberfranken,2020-03-18T12:00:00+01:00,8
Landsberg am Lech,Oberbayern,2020-03-18T12:00:00+01:00,14
Landshut,Niederbayern,2020-03-18T12:00:00+01:00,19
Landshut Stadt,Niederbayern,2020-03-18T12:00:00+01:00,7
Lichtenfels,Oberfranken,2020-03-18T12:00:00+01:00,5
Lindau (Bodensee),Schwaben,2020-03-18T12:00:00+01:00,21
Main-Spessart,Unterfranken,2020-03-18T12:00:00+01:00,8
Memmingen Stadt,Schwaben,2020-03-18T12:00:00+01:00,3
Miesbach,Oberbayern,2020-03-18T12:00:00+01:00,32
Miltenberg,Unterfranken,2020-03-18T12:00:00+01:00,9
Mühldorf am Inn,Oberbayern,2020-03-18T12:00:00+01:00,5
München,Oberbayern,2020-03-18T12:00:00+01:00,115
München Stadt,Oberbayern,2020-03-18T12:00:00+01:00,321
Neu-Ulm,Schwaben,2020-03-18T12:00:00+01:00,17
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-18T12:00:00+01:00,17
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-18T12:00:00+01:00,4
Neustadt an der Waldnaab,Oberpfalz,2020-03-18T12:00:00+01:00,2
Nürnberg Stadt,Mittelfranken,2020-03-18T12:00:00+01:00,33
Nürnberger Land,Mittelfranken,2020-03-18T12:00:00+01:00,11
Oberallgäu,Schwaben,2020-03-18T12:00:00+01:00,35
Ostallgäu,Schwaben,2020-03-18T12:00:00+01:00,16
Passau,Niederbayern,2020-03-18T12:00:00+01:00,19
Passau Stadt,Niederbayern,2020-03-18T12:00:00+01:00,4
Pfaffenhofen an der Ilm,Oberbayern,2020-03-18T12:00:00+01:00,15
Regen,Niederbayern,2020-03-18T12:00:00+01:00,18
Regensburg,Oberpfalz,2020-03-18T12:00:00+01:00,27
Regensburg Stadt,Oberpfalz,2020-03-18T12:00:00+01:00,26
Rhön-Grabfeld,Unterfranken,2020-03-18T12:00:00+01:00,3
Rosenheim,Oberbayern,2020-03-18T12:00:00+01:00,40
Rosenheim Stadt,Oberbayern,2020-03-18T12:00:00+01:00,1
Roth,Mittelfranken,2020-03-18T12:00:00+01:00,7
Rottal-Inn,Niederbayern,2020-03-18T12:00:00+01:00,29
Schwabach Stadt,Mittelfranken,2020-03-18T12:00:00+01:00,6
Schwandorf,Oberpfalz,2020-03-18T12:00:00+01:00,17
Schweinfurt,Unterfranken,2020-03-18T12:00:00+01:00,13
Schweinfurt Stadt,Unterfranken,2020-03-18T12:00:00+01:00,2
Starnberg,Oberbayern,2020-03-18T12:00:00+01:00,49
Straubing Stadt,Niederbayern,2020-03-18T12:00:00+01:00,8
