Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2020-06-02T10:00:00+02:00,294,20
Altötting,Oberbayern,2020-06-02T10:00:00+02:00,601,52
Amberg Stadt,Oberpfalz,2020-06-02T10:00:00+02:00,84,4
Amberg-Sulzbach,Oberpfalz,2020-06-02T10:00:00+02:00,496,47
Ansbach,Mittelfranken,2020-06-02T10:00:00+02:00,601,27
Ansbach Stadt,Mittelfranken,2020-06-02T10:00:00+02:00,138,8
Aschaffenburg,Unterfranken,2020-06-02T10:00:00+02:00,533,38
Aschaffenburg Stadt,Unterfranken,2020-06-02T10:00:00+02:00,114,1
Augsburg,Schwaben,2020-06-02T10:00:00+02:00,388,9
Augsburg Stadt,Schwaben,2020-06-02T10:00:00+02:00,408,14
Bad Kissingen,Unterfranken,2020-06-02T10:00:00+02:00,256,18
Bad Tölz-Wolfratshausen,Oberbayern,2020-06-02T10:00:00+02:00,423,10
Bamberg,Oberfranken,2020-06-02T10:00:00+02:00,413,36
Bamberg Stadt,Oberfranken,2020-06-02T10:00:00+02:00,193,19
Bayreuth,Oberfranken,2020-06-02T10:00:00+02:00,421,27
Bayreuth Stadt,Oberfranken,2020-06-02T10:00:00+02:00,209,12
Berchtesgadener Land,Oberbayern,2020-06-02T10:00:00+02:00,304,22
Cham,Oberpfalz,2020-06-02T10:00:00+02:00,429,21
Coburg,Oberfranken,2020-06-02T10:00:00+02:00,338,23
Coburg Stadt,Oberfranken,2020-06-02T10:00:00+02:00,93,1
Dachau,Oberbayern,2020-06-02T10:00:00+02:00,913,27
Deggendorf,Niederbayern,2020-06-02T10:00:00+02:00,323,13
Dillingen an der Donau,Schwaben,2020-06-02T10:00:00+02:00,266,27
Dingolfing-Landau,Niederbayern,2020-06-02T10:00:00+02:00,212,9
Donau-Ries,Schwaben,2020-06-02T10:00:00+02:00,353,23
Ebersberg,Oberbayern,2020-06-02T10:00:00+02:00,510,5
