Area,Date,Confirmed
Aichach-Friedberg,2020-03-21T10:00:00+01:00,18
Altötting,2020-03-21T10:00:00+01:00,17
Amberg Stadt,2020-03-21T10:00:00+01:00,2
Amberg-Sulzbach,2020-03-21T10:00:00+01:00,18
Ansbach,2020-03-21T10:00:00+01:00,28
Ansbach Stadt,2020-03-21T10:00:00+01:00,3
Aschaffenburg,2020-03-21T10:00:00+01:00,40
Aschaffenburg Stadt,2020-03-21T10:00:00+01:00,22
Augsburg,2020-03-21T10:00:00+01:00,54
Augsburg Stadt,2020-03-21T10:00:00+01:00,40
Bad Kissingen,2020-03-21T10:00:00+01:00,14
Bad Tölz,2020-03-21T10:00:00+01:00,40
Bamberg,2020-03-21T10:00:00+01:00,40
Bamberg Stadt,2020-03-21T10:00:00+01:00,22
Bayreuth,2020-03-21T10:00:00+01:00,20
Bayreuth Stadt,2020-03-21T10:00:00+01:00,5
Berchtesgadener Land,2020-03-21T10:00:00+01:00,8
Cham,2020-03-21T10:00:00+01:00,47
Coburg,2020-03-21T10:00:00+01:00,22
Dachau,2020-03-21T10:00:00+01:00,45
Deggendorf,2020-03-21T10:00:00+01:00,45
Dillingen a.d. Donau,2020-03-21T10:00:00+01:00,8
Dingolfing-Landau,2020-03-21T10:00:00+01:00,30
Donau-Ries,2020-03-21T10:00:00+01:00,10
Ebersberg,2020-03-21T10:00:00+01:00,52
Eichstätt,2020-03-21T10:00:00+01:00,15
Erding,2020-03-21T10:00:00+01:00,67
Erlangen Stadt,2020-03-21T10:00:00+01:00,17
Erlangen-Höchstadt,2020-03-21T10:00:00+01:00,20
Forchheim,2020-03-21T10:00:00+01:00,19
Freising,2020-03-21T10:00:00+01:00,174
Freyung-Grafenau,2020-03-21T10:00:00+01:00,10
Fürstenfeldbruck,2020-03-21T10:00:00+01:00,51
Fürth,2020-03-21T10:00:00+01:00,14
Fürth Stadt,2020-03-21T10:00:00+01:00,17
Garmisch-Partenkirchen,2020-03-21T10:00:00+01:00,31
Günzburg,2020-03-21T10:00:00+01:00,25
Haßberge,2020-03-21T10:00:00+01:00,16
Hof,2020-03-21T10:00:00+01:00,30
Hof Stadt,2020-03-21T10:00:00+01:00,10
Ingolstadt Stadt,2020-03-21T10:00:00+01:00,5
Kaufbeuren Stadt,2020-03-21T10:00:00+01:00,5
Kelheim,2020-03-21T10:00:00+01:00,26
Kitzingen,2020-03-21T10:00:00+01:00,11
Kronach,2020-03-21T10:00:00+01:00,13
Kulmbach,2020-03-21T10:00:00+01:00,14
Landsberg am Lech,2020-03-21T10:00:00+01:00,24
Landshut,2020-03-21T10:00:00+01:00,68
Landshut Stadt,2020-03-21T10:00:00+01:00,28
Lichtenfels,2020-03-21T10:00:00+01:00,7
Lindau (Bodensee),2020-03-21T10:00:00+01:00,37
Main-Spessart,2020-03-21T10:00:00+01:00,12
Memmingen Stadt,2020-03-21T10:00:00+01:00,14
Miesbach,2020-03-21T10:00:00+01:00,61
Miltenberg,2020-03-21T10:00:00+01:00,28
Mühldorf a.Inn,2020-03-21T10:00:00+01:00,20
München,2020-03-21T10:00:00+01:00,219
München Stadt,2020-03-21T10:00:00+01:00,591
Neu-Ulm,2020-03-21T10:00:00+01:00,36
Neuburg-Schrobenhausen,2020-03-21T10:00:00+01:00,22
Neumarkt i.d.Opf.,2020-03-21T10:00:00+01:00,18
Neustadt a.d. Aisch-Bad Windsheim,2020-03-21T10:00:00+01:00,10
Neustadt a.d. Waldnaab,2020-03-21T10:00:00+01:00,3
Nürnberg Stadt,2020-03-21T10:00:00+01:00,69
Nürnberger Land,2020-03-21T10:00:00+01:00,40
Oberallgäu,2020-03-21T10:00:00+01:00,52
Ostallgäu,2020-03-21T10:00:00+01:00,26
Passau,2020-03-21T10:00:00+01:00,25
Passau Stadt,2020-03-21T10:00:00+01:00,7
Pfaffenhofen a.d.Ilm,2020-03-21T10:00:00+01:00,19
Regen,2020-03-21T10:00:00+01:00,24
Regensburg,2020-03-21T10:00:00+01:00,64
Regensburg Stadt,2020-03-21T10:00:00+01:00,72
Rhön-Grabfeld,2020-03-21T10:00:00+01:00,10
Rosenheim,2020-03-21T10:00:00+01:00,179
Rosenheim Stadt,2020-03-21T10:00:00+01:00,1
Roth,2020-03-21T10:00:00+01:00,14
Rottal-Inn,2020-03-21T10:00:00+01:00,56
Schwabach Stadt,2020-03-21T10:00:00+01:00,8
Schwandorf,2020-03-21T10:00:00+01:00,24
Schweinfurt,2020-03-21T10:00:00+01:00,30
Schweinfurt Stadt,2020-03-21T10:00:00+01:00,4
Starnberg,2020-03-21T10:00:00+01:00,83
Straubing Stadt,2020-03-21T10:00:00+01:00,20
Straubing-Bogen,2020-03-21T10:00:00+01:00,20
Tirschenreuth,2020-03-21T10:00:00+01:00,68
Traunstein,2020-03-21T10:00:00+01:00,40
Unterallgäu,2020-03-21T10:00:00+01:00,31
Weiden Stadt,2020-03-21T10:00:00+01:00,7
Weilheim-Schongau,2020-03-21T10:00:00+01:00,58
Weißenburg-Gunzenhausen,2020-03-21T10:00:00+01:00,12
Wunsiedel i.Fichtelgebirge,2020-03-21T10:00:00+01:00,22
Würzburg,2020-03-21T10:00:00+01:00,108
Würzburg Stadt,2020-03-21T10:00:00+01:00,64
