Area,Date,Confirmed,Deaths
Aichach-Friedberg,2020-03-28T10:00:00+01:00,94,0
Altötting,2020-03-28T10:00:00+01:00,95,3
Amberg Stadt,2020-03-28T10:00:00+01:00,9,0
Amberg-Sulzbach,2020-03-28T10:00:00+01:00,56,3
Ansbach,2020-03-28T10:00:00+01:00,120,0
Ansbach Stadt,2020-03-28T10:00:00+01:00,18,0
Aschaffenburg,2020-03-28T10:00:00+01:00,103,1
Aschaffenburg Stadt,2020-03-28T10:00:00+01:00,42,0
Augsburg,2020-03-28T10:00:00+01:00,135,0
Augsburg Stadt,2020-03-28T10:00:00+01:00,116,2
Bad Kissingen,2020-03-28T10:00:00+01:00,54,0
Bad Tölz,2020-03-28T10:00:00+01:00,135,0
Bamberg,2020-03-28T10:00:00+01:00,144,1
Bamberg Stadt,2020-03-28T10:00:00+01:00,55,0
Bayreuth,2020-03-28T10:00:00+01:00,91,2
Bayreuth Stadt,2020-03-28T10:00:00+01:00,45,0
Berchtesgadener Land,2020-03-28T10:00:00+01:00,65,0
Cham,2020-03-28T10:00:00+01:00,141,0
Coburg,2020-03-28T10:00:00+01:00,37,0
Coburg Stadt,2020-03-28T10:00:00+01:00,14,0
Dachau,2020-03-28T10:00:00+01:00,171,1
Deggendorf,2020-03-28T10:00:00+01:00,111,1
Dillingen a.d. Donau,2020-03-28T10:00:00+01:00,33,1
Dingolfing-Landau,2020-03-28T10:00:00+01:00,77,0
Donau-Ries,2020-03-28T10:00:00+01:00,66,0
Ebersberg,2020-03-28T10:00:00+01:00,150,0
Eichstätt,2020-03-28T10:00:00+01:00,52,0
Erding,2020-03-28T10:00:00+01:00,245,0
Erlangen Stadt,2020-03-28T10:00:00+01:00,44,0
Erlangen-Höchstadt,2020-03-28T10:00:00+01:00,52,1
Forchheim,2020-03-28T10:00:00+01:00,73,1
Freising,2020-03-28T10:00:00+01:00,397,3
Freyung-Grafenau,2020-03-28T10:00:00+01:00,62,1
Fürstenfeldbruck,2020-03-28T10:00:00+01:00,249,0
Fürth,2020-03-28T10:00:00+01:00,73,2
Fürth Stadt,2020-03-28T10:00:00+01:00,52,0
Garmisch-Partenkirchen,2020-03-28T10:00:00+01:00,88,0
Günzburg,2020-03-28T10:00:00+01:00,68,0
Haßberge,2020-03-28T10:00:00+01:00,38,0
Hof,2020-03-28T10:00:00+01:00,77,0
Hof Stadt,2020-03-28T10:00:00+01:00,24,0
Ingolstadt Stadt,2020-03-28T10:00:00+01:00,55,0
Kaufbeuren Stadt,2020-03-28T10:00:00+01:00,18,0
Kelheim,2020-03-28T10:00:00+01:00,101,2
