Area,Date,Deaths
Amberg-Sulzbach,2020-03-25T10:00:00+01:00,2
Augsburg Stadt,2020-03-25T10:00:00+01:00,1
Bayreuth,2020-03-25T10:00:00+01:00,1
Dillingen a.d.Donau,2020-03-25T10:00:00+01:00,1
Forchheim,2020-03-25T10:00:00+01:00,1
Freising,2020-03-25T10:00:00+01:00,3
Landsberg a.Lech,2020-03-25T10:00:00+01:00,1
Lindau,2020-03-25T10:00:00+01:00,1
Main-Spessart,2020-03-25T10:00:00+01:00,1
Neustadt a.d.Waldnaab,2020-03-25T10:00:00+01:00,2
Neu-Ulm,2020-03-25T10:00:00+01:00,1
Nürnberger Land,2020-03-25T10:00:00+01:00,2
Oberallgäu,2020-03-25T10:00:00+01:00,2
Ostallgäu,2020-03-25T10:00:00+01:00,1
Regensburg Stadt,2020-03-25T10:00:00+01:00,1
Rosenheim,2020-03-25T10:00:00+01:00,1
Starnberg,2020-03-25T10:00:00+01:00,1
Tirschenreuth,2020-03-25T10:00:00+01:00,3
Traunstein,2020-03-25T10:00:00+01:00,2
Weilheim-Schongau,2020-03-25T10:00:00+01:00,1
Wunsiedel i.Fichtelgebirge,2020-03-25T10:00:00+01:00,2
Würzburg,2020-03-25T10:00:00+01:00,4
Würzburg Stadt,2020-03-25T10:00:00+01:00,6
