Kommune,Timestamp,Confirmed
Aschheim,2021-04-06T14:00:00+02:00,383
Aying,2021-04-06T14:00:00+02:00,171
Baierbrunn,2021-04-06T14:00:00+02:00,111
Brunnthal,2021-04-06T14:00:00+02:00,152
Feldkirchen,2021-04-06T14:00:00+02:00,203
Garching,2021-04-06T14:00:00+02:00,689
Gräfelfing,2021-04-06T14:00:00+02:00,455
Grasbrunn,2021-04-06T14:00:00+02:00,193
Grünwald,2021-04-06T14:00:00+02:00,447
Haar,2021-04-06T14:00:00+02:00,1167
Hohenbrunn,2021-04-06T14:00:00+02:00,211
Höhenkirchen-Siegertsbrunn,2021-04-06T14:00:00+02:00,356
Ismaning,2021-04-06T14:00:00+02:00,574
Kirchheim,2021-04-06T14:00:00+02:00,351
Neubiberg,2021-04-06T14:00:00+02:00,476
Neuried,2021-04-06T14:00:00+02:00,259
Oberhaching,2021-04-06T14:00:00+02:00,564
Oberschleißheim,2021-04-06T14:00:00+02:00,457
Ottobrunn,2021-04-06T14:00:00+02:00,827
Planegg,2021-04-06T14:00:00+02:00,383
Pullach,2021-04-06T14:00:00+02:00,448
Putzbrunn,2021-04-06T14:00:00+02:00,232
Sauerlach,2021-04-06T14:00:00+02:00,212
Schäftlarn,2021-04-06T14:00:00+02:00,159
Straßlach-Dingharting,2021-04-06T14:00:00+02:00,92
Taufkirchen,2021-04-06T14:00:00+02:00,667
Unterföhring,2021-04-06T14:00:00+02:00,417
Unterhaching,2021-04-06T14:00:00+02:00,850
Unterschleißheim,2021-04-06T14:00:00+02:00,1114
