Area,Date,Confirmed
Aachen & Städteregion Aachen,2020-03-21T11:30:00+01:00,436
Bielefeld,2020-03-21T11:30:00+01:00,66
Bochum,2020-03-21T11:30:00+01:00,77
Bonn,2020-03-21T11:30:00+01:00,119
Borken (Kreis),2020-03-21T11:30:00+01:00,252
Bottrop,2020-03-21T11:30:00+01:00,16
Coesfeld (Kreis),2020-03-21T11:30:00+01:00,129
Dortmund,2020-03-21T11:30:00+01:00,140
Duisburg,2020-03-21T11:30:00+01:00,89
Düren (Kreis),2020-03-21T11:30:00+01:00,118
Düsseldorf,2020-03-21T11:30:00+01:00,189
Ennepe-Ruhr-Kreis,2020-03-21T11:30:00+01:00,45
Essen,2020-03-21T11:30:00+01:00,164
Euskirchen (Kreis),2020-03-21T11:30:00+01:00,45
Gelsenkirchen,2020-03-21T11:30:00+01:00,41
Gütersloh (Kreis),2020-03-21T11:30:00+01:00,179
Hagen,2020-03-21T11:30:00+01:00,31
Hamm,2020-03-21T11:30:00+01:00,54
Heinsberg (Kreis),2020-03-21T11:30:00+01:00,916
Herford (Kreis),2020-03-21T11:30:00+01:00,85
Herne ,2020-03-21T11:30:00+01:00,16
Hochsauerlandkreis (Kreis),2020-03-21T11:30:00+01:00,109
Höxter,2020-03-21T11:30:00+01:00,16
Kleve (Kreis),2020-03-21T11:30:00+01:00,109
Köln,2020-03-21T11:30:00+01:00,629
Krefeld,2020-03-21T11:30:00+01:00,71
Leverkusen,2020-03-21T11:30:00+01:00,45
Lippe (Kreis),2020-03-21T11:30:00+01:00,133
Märkischer Kreis,2020-03-21T11:30:00+01:00,38
Mettmann (Kreis),2020-03-21T11:30:00+01:00,113
Minden-Lübbecke (Kreis),2020-03-21T11:30:00+01:00,140
Mönchengladbach,2020-03-21T11:30:00+01:00,77
Mülheim / Ruhr,2020-03-21T11:30:00+01:00,36
Münster,2020-03-21T11:30:00+01:00,219
Oberbergischer Kreis,2020-03-21T11:30:00+01:00,71
Oberhausen,2020-03-21T11:30:00+01:00,35
Olpe (Kreis),2020-03-21T11:30:00+01:00,17
Paderborn (Kreis),2020-03-21T11:30:00+01:00,75
Recklinghausen (Kreis),2020-03-21T11:30:00+01:00,127
Remscheid,2020-03-21T11:30:00+01:00,21
Rhein-Erft-Kreis,2020-03-21T11:30:00+01:00,154
Rheinisch-Bergischer Kreis,2020-03-21T11:30:00+01:00,81
Rhein-Kreis Neuss,2020-03-21T11:30:00+01:00,96
Rhein-Sieg-Kreis,2020-03-21T11:30:00+01:00,248
Siegen-Wittgenstein (Kreis),2020-03-21T11:30:00+01:00,29
Soest (Kreis),2020-03-21T11:30:00+01:00,57
Solingen,2020-03-21T11:30:00+01:00,38
Steinfurt (Kreis),2020-03-21T11:30:00+01:00,188
Unna (Kreis),2020-03-21T11:30:00+01:00,60
Viersen (Kreis),2020-03-21T11:30:00+01:00,123
Warendorf (Kreis),2020-03-21T11:30:00+01:00,186
Wesel (Kreis),2020-03-21T11:30:00+01:00,124
Wuppertal,2020-03-21T11:30:00+01:00,74
