Area,Date,Confirmed,Deaths
Aachen & Städteregion Aachen,2020-03-25T10:00:00+01:00,540,8
Bielefeld,2020-03-25T10:00:00+01:00,104,0
Bochum,2020-03-25T10:00:00+01:00,143,2
Bonn,2020-03-25T10:00:00+01:00,180,0
Borken (Kreis),2020-03-25T10:00:00+01:00,308,2
Bottrop,2020-03-25T10:00:00+01:00,18,0
Coesfeld (Kreis),2020-03-25T10:00:00+01:00,182,0
Dortmund,2020-03-25T10:00:00+01:00,183,0
Duisburg,2020-03-25T10:00:00+01:00,174,0
Düren (Kreis),2020-03-25T10:00:00+01:00,159,1
Düsseldorf,2020-03-25T10:00:00+01:00,261,2
Ennepe-Ruhr-Kreis,2020-03-25T10:00:00+01:00,76,1
Essen,2020-03-25T10:00:00+01:00,254,2
Euskirchen (Kreis),2020-03-25T10:00:00+01:00,61,0
Gelsenkirchen,2020-03-25T10:00:00+01:00,55,0
Gütersloh (Kreis),2020-03-25T10:00:00+01:00,254,1
Hagen,2020-03-25T10:00:00+01:00,52,1
Hamm,2020-03-25T10:00:00+01:00,94,1
Heinsberg (Kreis),2020-03-25T10:00:00+01:00,1043,25
Herford (Kreis),2020-03-25T10:00:00+01:00,109,0
Herne ,2020-03-25T10:00:00+01:00,27,0
Hochsauerlandkreis (Kreis),2020-03-25T10:00:00+01:00,153,0
Höxter (Kreis),2020-03-25T10:00:00+01:00,28,0
Kleve (Kreis),2020-03-25T10:00:00+01:00,150,0
Köln,2020-03-25T10:00:00+01:00,880,3
Krefeld,2020-03-25T10:00:00+01:00,110,0
Leverkusen,2020-03-25T10:00:00+01:00,65,0
Lippe (Kreis),2020-03-25T10:00:00+01:00,188,1
Märkischer Kreis,2020-03-25T10:00:00+01:00,51,0
Mettmann (Kreis),2020-03-25T10:00:00+01:00,210,2
Minden-Lübbecke (Kreis),2020-03-25T10:00:00+01:00,184,0
Mönchengladbach,2020-03-25T10:00:00+01:00,118,0
Mülheim / Ruhr,2020-03-25T10:00:00+01:00,45,0
Münster,2020-03-25T10:00:00+01:00,312,0
Oberbergischer Kreis,2020-03-25T10:00:00+01:00,112,0
Oberhausen,2020-03-25T10:00:00+01:00,39,0
Olpe (Kreis),2020-03-25T10:00:00+01:00,20,0
Paderborn (Kreis),2020-03-25T10:00:00+01:00,98,0
Recklinghausen (Kreis),2020-03-25T10:00:00+01:00,195,0
Remscheid,2020-03-25T10:00:00+01:00,34,0
Rhein-Erft-Kreis,2020-03-25T10:00:00+01:00,243,0
Rheinisch-Bergischer Kreis,2020-03-25T10:00:00+01:00,135,1
Rhein-Kreis Neuss,2020-03-25T10:00:00+01:00,194,3
Rhein-Sieg-Kreis,2020-03-25T10:00:00+01:00,335,0
Siegen-Wittgenstein (Kreis),2020-03-25T10:00:00+01:00,59,0
Soest (Kreis),2020-03-25T10:00:00+01:00,110,0
Solingen,2020-03-25T10:00:00+01:00,54,0
Steinfurt (Kreis),2020-03-25T10:00:00+01:00,244,0
Unna (Kreis),2020-03-25T10:00:00+01:00,108,0
Viersen (Kreis),2020-03-25T10:00:00+01:00,174,1
Warendorf (Kreis),2020-03-25T10:00:00+01:00,218,0
Wesel (Kreis),2020-03-25T10:00:00+01:00,161,2
Wuppertal,2020-03-25T10:00:00+01:00,117,2
