Area,Date,Confirmed,Deaths,Recovered
Aachen & Städteregion Aachen,2020-04-08T10:00:00+02:00,1359,36,662
Bielefeld,2020-04-08T10:00:00+02:00,233,1,101
Bochum,2020-04-08T10:00:00+02:00,335,12,169
Bonn,2020-04-08T10:00:00+02:00,517,2,104
Borken (Kreis),2020-04-08T10:00:00+02:00,699,16,281
Bottrop,2020-04-08T10:00:00+02:00,71,3,27
Coesfeld (Kreis),2020-04-08T10:00:00+02:00,417,9,176
Dortmund,2020-04-08T10:00:00+02:00,483,3,212
Duisburg,2020-04-08T10:00:00+02:00,450,3,201
Düren (Kreis),2020-04-08T10:00:00+02:00,366,12,174
Düsseldorf,2020-04-08T10:00:00+02:00,649,7,241
Ennepe-Ruhr-Kreis,2020-04-08T10:00:00+02:00,280,3,111
Essen,2020-04-08T10:00:00+02:00,555,20,238
Euskirchen (Kreis),2020-04-08T10:00:00+02:00,219,2,79
Gelsenkirchen,2020-04-08T10:00:00+02:00,210,4,36
Gütersloh (Kreis),2020-04-08T10:00:00+02:00,504,9,266
Hagen,2020-04-08T10:00:00+02:00,122,2,66
Hamm,2020-04-08T10:00:00+02:00,263,4,86
Heinsberg (Kreis),2020-04-08T10:00:00+02:00,1476,47,863
Herford (Kreis),2020-04-08T10:00:00+02:00,251,1,84
Herne ,2020-04-08T10:00:00+02:00,78,0,43
Hochsauerlandkreis (Kreis),2020-04-08T10:00:00+02:00,403,3,166
Höxter (Kreis),2020-04-08T10:00:00+02:00,154,1,40
Kleve (Kreis),2020-04-08T10:00:00+02:00,312,5,131
Köln,2020-04-08T10:00:00+02:00,1815,34,934
Krefeld,2020-04-08T10:00:00+02:00,292,2,135
Leverkusen,2020-04-08T10:00:00+02:00,158,2,63
Lippe (Kreis),2020-04-08T10:00:00+02:00,509,7,130
Märkischer Kreis,2020-04-08T10:00:00+02:00,230,4,51
Mettmann (Kreis),2020-04-08T10:00:00+02:00,615,14,250
Minden-Lübbecke (Kreis),2020-04-08T10:00:00+02:00,430,3,200
Mönchengladbach,2020-04-08T10:00:00+02:00,304,10,138
Mülheim / Ruhr,2020-04-08T10:00:00+02:00,108,3,54
Münster,2020-04-08T10:00:00+02:00,595,4,367
Oberbergischer Kreis,2020-04-08T10:00:00+02:00,327,6,127
Oberhausen,2020-04-08T10:00:00+02:00,117,0,41
Olpe (Kreis),2020-04-08T10:00:00+02:00,264,8,128
Paderborn (Kreis),2020-04-08T10:00:00+02:00,411,8,60
Recklinghausen (Kreis),2020-04-08T10:00:00+02:00,581,5,298
Remscheid,2020-04-08T10:00:00+02:00,108,2,50
Rhein-Erft-Kreis,2020-04-08T10:00:00+02:00,634,15,193
Rheinisch-Bergischer Kreis,2020-04-08T10:00:00+02:00,294,3,151
Rhein-Kreis Neuss,2020-04-08T10:00:00+02:00,491,6,280
Rhein-Sieg-Kreis,2020-04-08T10:00:00+02:00,799,10,212
Siegen-Wittgenstein (Kreis),2020-04-08T10:00:00+02:00,188,4,42
Soest (Kreis),2020-04-08T10:00:00+02:00,260,2,111
Solingen,2020-04-08T10:00:00+02:00,151,1,62
Steinfurt (Kreis),2020-04-08T10:00:00+02:00,757,15,266
Unna (Kreis),2020-04-08T10:00:00+02:00,377,8,117
Viersen (Kreis),2020-04-08T10:00:00+02:00,411,11,108
Warendorf (Kreis),2020-04-08T10:00:00+02:00,351,3,226
Wesel (Kreis),2020-04-08T10:00:00+02:00,303,3,163
Wuppertal,2020-04-08T10:00:00+02:00,383,10,122
