Area,Date,Confirmed,EConfirmed,Deaths,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-04-16T14:00:00+02:00,1583,1572,54,57,1009
Bielefeld,2020-04-16T14:00:00+02:00,300,210,1,0,169
Bochum,2020-04-16T14:00:00+02:00,394,308,15,7,267
Bonn,2020-04-16T14:00:00+02:00,550,551,4,5,135
Borken (Kreis),2020-04-16T14:00:00+02:00,804,801,23,23,436
Bottrop,2020-04-16T14:00:00+02:00,101,58,5,3,49
Coesfeld (Kreis),2020-04-16T14:00:00+02:00,464,459,13,16,319
Dortmund,2020-04-16T14:00:00+02:00,578,558,3,3,333
Duisburg,2020-04-16T14:00:00+02:00,621,599,9,9,362
Düren (Kreis),2020-04-16T14:00:00+02:00,478,467,16,18,261
Düsseldorf,2020-04-16T14:00:00+02:00,844,829,14,14,457
Ennepe-Ruhr-Kreis,2020-04-16T14:00:00+02:00,345,332,8,6,212
Essen,2020-04-16T14:00:00+02:00,647,518,27,24,356
Euskirchen (Kreis),2020-04-16T14:00:00+02:00,285,288,8,9,135
Gelsenkirchen,2020-04-16T14:00:00+02:00,258,227,9,7,106
Gütersloh (Kreis),2020-04-16T14:00:00+02:00,555,479,14,13,375
Hagen,2020-04-16T14:00:00+02:00,183,183,2,3,96
Hamm,2020-04-16T14:00:00+02:00,354,344,14,15,152
Heinsberg (Kreis),2020-04-16T14:00:00+02:00,1615,1602,55,52,1175
Herford (Kreis),2020-04-16T14:00:00+02:00,296,283,4,1,149
Herne ,2020-04-16T14:00:00+02:00,120,108,1,1,57
Hochsauerlandkreis (Kreis),2020-04-16T14:00:00+02:00,526,525,11,11,285
Höxter (Kreis),2020-04-16T14:00:00+02:00,235,234,1,1,110
Kleve (Kreis),2020-04-16T14:00:00+02:00,438,427,12,9,229
Köln,2020-04-16T14:00:00+02:00,2104,2107,60,58,1618
Krefeld,2020-04-16T14:00:00+02:00,360,298,8,2,256
Leverkusen,2020-04-16T14:00:00+02:00,171,165,3,3,117
Lippe (Kreis),2020-04-16T14:00:00+02:00,590,562,19,16,267
Märkischer Kreis,2020-04-16T14:00:00+02:00,388,389,6,12,153
Mettmann (Kreis),2020-04-16T14:00:00+02:00,889,705,40,38,463
Minden-Lübbecke (Kreis),2020-04-16T14:00:00+02:00,382,375,3,3,248
Mönchengladbach,2020-04-16T14:00:00+02:00,389,379,22,22,218
Mülheim / Ruhr,2020-04-16T14:00:00+02:00,132,136,4,4,83
Münster,2020-04-16T14:00:00+02:00,622,598,7,7,482
Oberbergischer Kreis,2020-04-16T14:00:00+02:00,386,378,9,10,226
Oberhausen,2020-04-16T14:00:00+02:00,157,144,0,0,66
Olpe (Kreis),2020-04-16T14:00:00+02:00,470,421,15,15,205
Paderborn (Kreis),2020-04-16T14:00:00+02:00,512,498,21,18,131
Recklinghausen (Kreis),2020-04-16T14:00:00+02:00,772,695,6,6,472
Remscheid,2020-04-16T14:00:00+02:00,166,181,3,2,74
Rhein-Erft-Kreis,2020-04-16T14:00:00+02:00,802,807,32,33,294
Rheinisch-Bergischer Kreis,2020-04-16T14:00:00+02:00,382,379,7,4,217
Rhein-Kreis Neuss,2020-04-16T14:00:00+02:00,527,512,12,13,411
Rhein-Sieg-Kreis,2020-04-16T14:00:00+02:00,973,966,19,18,441
Siegen-Wittgenstein (Kreis),2020-04-16T14:00:00+02:00,239,223,6,4,90
Soest (Kreis),2020-04-16T14:00:00+02:00,320,320,3,3,301
Solingen,2020-04-16T14:00:00+02:00,195,186,3,3,94
Steinfurt (Kreis),2020-04-16T14:00:00+02:00,1032,1021,36,24,456
Unna (Kreis),2020-04-16T14:00:00+02:00,522,441,20,15,237
Viersen (Kreis),2020-04-16T14:00:00+02:00,499,429,22,24,166
Warendorf (Kreis),2020-04-16T14:00:00+02:00,414,403,6,6,294
Wesel (Kreis),2020-04-16T14:00:00+02:00,418,404,14,14,266
Wuppertal,2020-04-16T14:00:00+02:00,613,596,31,25,269
