Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-05-19T03:30:00+02:00,1951,88,1784
Bielefeld,2020-05-19T03:30:00+02:00,409,4,371
Bochum,2020-05-19T03:30:00+02:00,499,18,409
Bonn,2020-05-19T03:30:00+02:00,694,6,668
Borken (Kreis),2020-05-19T03:30:00+02:00,1003,38,828
Bottrop,2020-05-19T03:30:00+02:00,187,6,161
Coesfeld (Kreis),2020-05-19T03:30:00+02:00,825,24,499
Dortmund,2020-05-19T03:30:00+02:00,723,6,689
Duisburg,2020-05-19T03:30:00+02:00,1056,48,822
Düren (Kreis),2020-05-19T03:30:00+02:00,588,38,520
Düsseldorf,2020-05-19T03:30:00+02:00,1283,30,1039
Ennepe-Ruhr-Kreis,2020-05-19T03:30:00+02:00,413,14,370
Essen,2020-05-19T03:30:00+02:00,816,35,678
Euskirchen (Kreis),2020-05-19T03:30:00+02:00,435,21,313
Gelsenkirchen,2020-05-19T03:30:00+02:00,385,12,292
Gütersloh (Kreis),2020-05-19T03:30:00+02:00,608,19,563
Hagen,2020-05-19T03:30:00+02:00,321,11,261
Hamm,2020-05-19T03:30:00+02:00,471,36,377
Heinsberg (Kreis),2020-05-19T03:30:00+02:00,1854,68,1639
Herford (Kreis),2020-05-19T03:30:00+02:00,330,7,306
Herne,2020-05-19T03:30:00+02:00,185,1,163
Hochsauerlandkreis,2020-05-19T03:30:00+02:00,606,17,557
Höxter (Kreis),2020-05-19T03:30:00+02:00,334,16,269
Kleve (Kreis),2020-05-19T03:30:00+02:00,631,35,531
Köln,2020-05-19T03:30:00+02:00,2423,96,2188
Krefeld,2020-05-19T03:30:00+02:00,599,22,508
Leverkusen,2020-05-19T03:30:00+02:00,227,5,199
Lippe (Kreis),2020-05-19T03:30:00+02:00,738,29,666
Märkischer Kreis,2020-05-19T03:30:00+02:00,590,27,474
Mettmann (Kreis),2020-05-19T03:30:00+02:00,913,72,778
Minden-Lübbecke (Kreis),2020-05-19T03:30:00+02:00,470,8,404
Mönchengladbach,2020-05-19T03:30:00+02:00,576,39,432
Mülheim / Ruhr,2020-05-19T03:30:00+02:00,196,9,161
Münster,2020-05-19T03:30:00+02:00,687,13,619
Oberbergischer Kreis,2020-05-19T03:30:00+02:00,475,16,430
Oberhausen,2020-05-19T03:30:00+02:00,254,6,219
Olpe (Kreis),2020-05-19T03:30:00+02:00,619,52,519
Paderborn (Kreis),2020-05-19T03:30:00+02:00,614,31,529
Recklinghausen (Kreis),2020-05-19T03:30:00+02:00,1251,36,1034
Remscheid,2020-05-19T03:30:00+02:00,234,16,220
Rhein-Erft-Kreis,2020-05-19T03:30:00+02:00,1080,71,907
Rheinisch-Bergischer Kreis,2020-05-19T03:30:00+02:00,457,18,397
Rhein-Kreis Neuss,2020-05-19T03:30:00+02:00,667,18,606
Rhein-Sieg-Kreis,2020-05-19T03:30:00+02:00,1237,48,1097
Siegen-Wittgenstein (Kreis),2020-05-19T03:30:00+02:00,307,8,272
Soest (Kreis),2020-05-19T03:30:00+02:00,359,8,342
Solingen,2020-05-19T03:30:00+02:00,242,7,215
Steinfurt (Kreis),2020-05-19T03:30:00+02:00,1324,78,1144
Unna (Kreis),2020-05-19T03:30:00+02:00,657,36,423
Viersen (Kreis),2020-05-19T03:30:00+02:00,690,35,483
Warendorf (Kreis),2020-05-19T03:30:00+02:00,483,16,437
Wesel (Kreis),2020-05-19T03:30:00+02:00,591,26,481
Wuppertal,2020-05-19T03:30:00+02:00,900,80,705
