Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-02-05T23:59:00+01:00,16181,227,14722
Duisburg,5112,2021-02-05T23:59:00+01:00,18084,493,16770
Essen,5113,2021-02-05T23:59:00+01:00,16983,370,14159
Krefeld,5114,2021-02-05T23:59:00+01:00,6799,111,5759
Mönchengladbach,5116,2021-02-05T23:59:00+01:00,7176,174,6132
Mülheim / Ruhr,5117,2021-02-05T23:59:00+01:00,5304,179,4901
Oberhausen,5119,2021-02-05T23:59:00+01:00,6945,230,6324
Remscheid,5120,2021-02-05T23:59:00+01:00,3404,125,3142
Solingen,5122,2021-02-05T23:59:00+01:00,5740,127,5359
Wuppertal,5124,2021-02-05T23:59:00+01:00,12065,344,10950
Kleve (Kreis),5154,2021-02-05T23:59:00+01:00,6116,125,5091
Mettmann (Kreis),5158,2021-02-05T23:59:00+01:00,14461,520,12638
Rhein-Kreis Neuss,5162,2021-02-05T23:59:00+01:00,10705,236,9444
Viersen (Kreis),5166,2021-02-05T23:59:00+01:00,7620,219,6388
Wesel (Kreis),5170,2021-02-05T23:59:00+01:00,10900,177,10162
Bonn,5314,2021-02-05T23:59:00+01:00,8786,150,8133
Köln,5315,2021-02-05T23:59:00+01:00,31357,459,27127
Leverkusen,5316,2021-02-05T23:59:00+01:00,4454,67,4114
Aachen & Städteregion Aachen,5334,2021-02-05T23:59:00+01:00,17095,426,16041
Düren (Kreis),5358,2021-02-05T23:59:00+01:00,8497,215,7879
Rhein-Erft-Kreis,5362,2021-02-05T23:59:00+01:00,11031,282,10240
Euskirchen (Kreis),5366,2021-02-05T23:59:00+01:00,4770,172,4319
Heinsberg (Kreis),5370,2021-02-05T23:59:00+01:00,7886,273,6963
Oberbergischer Kreis,5374,2021-02-05T23:59:00+01:00,7860,141,7182
Rheinisch-Bergischer Kreis,5378,2021-02-05T23:59:00+01:00,6884,105,6356
Rhein-Sieg-Kreis,5382,2021-02-05T23:59:00+01:00,14624,333,12587
Bottrop,5512,2021-02-05T23:59:00+01:00,3689,67,3379
Gelsenkirchen,5513,2021-02-05T23:59:00+01:00,9583,299,8567
Münster,5515,2021-02-05T23:59:00+01:00,5216,96,4920
Borken (Kreis),5554,2021-02-05T23:59:00+01:00,8244,183,7661
Coesfeld (Kreis),5558,2021-02-05T23:59:00+01:00,3639,72,3391
Recklinghausen (Kreis),5562,2021-02-05T23:59:00+01:00,20767,566,18821
Steinfurt (Kreis),5566,2021-02-05T23:59:00+01:00,9878,234,9215
Warendorf (Kreis),5570,2021-02-05T23:59:00+01:00,7895,170,7083
Bielefeld,5711,2021-02-05T23:59:00+01:00,9675,249,7712
Gütersloh (Kreis),5754,2021-02-05T23:59:00+01:00,13071,234,12243
Herford (Kreis),5758,2021-02-05T23:59:00+01:00,6930,127,6426
Höxter (Kreis),5762,2021-02-05T23:59:00+01:00,3637,110,3191
Lippe (Kreis),5766,2021-02-05T23:59:00+01:00,10783,256,9977
Minden-Lübbecke (Kreis),5770,2021-02-05T23:59:00+01:00,9614,206,8918
Paderborn (Kreis),5774,2021-02-05T23:59:00+01:00,6019,127,5519
Bochum,5911,2021-02-05T23:59:00+01:00,9973,146,8536
Dortmund,5913,2021-02-05T23:59:00+01:00,17259,263,16208
Hagen,5914,2021-02-05T23:59:00+01:00,6973,187,5651
Hamm,5915,2021-02-05T23:59:00+01:00,6299,147,5844
Herne,5916,2021-02-05T23:59:00+01:00,5919,165,5347
Ennepe-Ruhr-Kreis,5954,2021-02-05T23:59:00+01:00,8175,251,7451
Hochsauerlandkreis,5958,2021-02-05T23:59:00+01:00,5332,114,4866
Märkischer Kreis,5962,2021-02-05T23:59:00+01:00,10575,210,8660
Olpe (Kreis),5966,2021-02-05T23:59:00+01:00,3437,122,3120
Siegen-Wittgenstein (Kreis),5970,2021-02-05T23:59:00+01:00,6263,109,5785
Soest (Kreis),5974,2021-02-05T23:59:00+01:00,4883,124,4366
Unna (Kreis),5978,2021-02-05T23:59:00+01:00,12103,350,11113
