Bundesland,Timestamp,Confirmed,Deaths
Baden-Württemberg,2020-03-07T15:00:00+01:00,170,0
Bayern,2020-03-07T15:00:00+01:00,134,0
Berlin,2020-03-07T15:00:00+01:00,28,0
Brandenburg,2020-03-07T15:00:00+01:00,2,0
Bremen,2020-03-07T15:00:00+01:00,4,0
Hamburg,2020-03-07T15:00:00+01:00,13,0
Hessen,2020-03-07T15:00:00+01:00,17,0
Mecklenburg-Vorpommern,2020-03-07T15:00:00+01:00,5,0
Niedersachsen,2020-03-07T15:00:00+01:00,19,0
Nordrhein-Westfalen,2020-03-07T15:00:00+01:00,373,0
Rheinland-Pfalz,2020-03-07T15:00:00+01:00,13,0
Saarland,2020-03-07T15:00:00+01:00,3,0
Sachsen,2020-03-07T15:00:00+01:00,4,0
Schleswig-Holstein,2020-03-07T15:00:00+01:00,8,0
Thüringen,2020-03-07T15:00:00+01:00,2,0
