Bundesland,Timestamp,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,2020-03-12T15:00:00+01:00,454,1,331,1
Bayern,2020-03-12T15:00:00+01:00,500,1,317,0
Berlin,2020-03-12T15:00:00+01:00,137,0,137,0
Brandenburg,2020-03-12T15:00:00+01:00,30,0,23,0
Bremen,2020-03-12T15:00:00+01:00,38,0,35,0
Hamburg,2020-03-12T15:00:00+01:00,88,0,60,0
Hessen,2020-03-12T15:00:00+01:00,99,0,59,0
Mecklenburg-Vorpommern,2020-03-12T15:00:00+01:00,23,0,16,0
Niedersachsen,2020-03-12T15:00:00+01:00,129,0,81,0
Nordrhein-Westfalen,2020-03-12T15:00:00+01:00,688,3,688,3
Rheinland-Pfalz,2020-03-12T15:00:00+01:00,52,0,52,0
Saarland,2020-03-12T15:00:00+01:00,14,0,8,0
Sachsen,2020-03-12T15:00:00+01:00,45,0,30,0
Sachsen-Anhalt,2020-03-12T15:00:00+01:00,27,0,14,0
Schleswig-Holstein,2020-03-12T15:00:00+01:00,31,0,29,0
Thüringen,2020-03-12T15:00:00+01:00,14,0,12,0
