Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-05-19T00:00:00+02:00,34034,1653
Bayern,2020-05-19T00:00:00+02:00,45639,2314
Berlin,2020-05-19T00:00:00+02:00,6478,182
Brandenburg,2020-05-19T00:00:00+02:00,3185,150
Bremen,2020-05-19T00:00:00+02:00,1237,38
Hamburg,2020-05-19T00:00:00+02:00,5042,232
Hessen,2020-05-19T00:00:00+02:00,9368,442
Mecklenburg-Vorpommern,2020-05-19T00:00:00+02:00,752,20
Niedersachsen,2020-05-19T00:00:00+02:00,11207,548
Nordrhein-Westfalen,2020-05-19T00:00:00+02:00,36485,1525
Rheinland-Pfalz,2020-05-19T00:00:00+02:00,6520,222
Saarland,2020-05-19T00:00:00+02:00,2699,154
Sachsen,2020-05-19T00:00:00+02:00,5133,198
Sachsen-Anhalt,2020-05-19T00:00:00+02:00,1679,54
Schleswig-Holstein,2020-05-19T00:00:00+02:00,3002,128
Thüringen,2020-05-19T00:00:00+02:00,2750,147
