Bundesland,AGS,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,08,2022-11-15T00:00:00+01:00,4859329,17954
Bayern,09,2022-11-15T00:00:00+01:00,6504601,26825
Berlin,11,2022-11-15T00:00:00+01:00,1346575,5029
Brandenburg,12,2022-11-15T00:00:00+01:00,1042828,6108
Bremen,04,2022-11-15T00:00:00+01:00,281574,878
Hamburg,02,2022-11-15T00:00:00+01:00,768533,3204
Hessen,06,2022-11-15T00:00:00+01:00,2765691,11537
Mecklenburg-Vorpommern,13,2022-11-15T00:00:00+01:00,663684,2559
Niedersachsen,03,2022-11-15T00:00:00+01:00,3528785,11499
Nordrhein-Westfalen,05,2022-11-15T00:00:00+01:00,7427680,28582
Rheinland-Pfalz,07,2022-11-15T00:00:00+01:00,1668188,6465
Saarland,10,2022-11-15T00:00:00+01:00,464898,1948
Sachsen,14,2022-11-15T00:00:00+01:00,1883021,16304
Sachsen-Anhalt,15,2022-11-15T00:00:00+01:00,914253,5949
Schleswig-Holstein,01,2022-11-15T00:00:00+01:00,1104653,3090
Thüringen,16,2022-11-15T00:00:00+01:00,856281,7876
