Area,Bundesland,Timestamp,Confirmed,Deaths
Alb-Donau-Kreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,1203,26
Baden-Baden,Baden-Württemberg,2020-10-22T00:00:00+02:00,302,19
Biberach,Baden-Württemberg,2020-10-22T00:00:00+02:00,983,38
Bodenseekreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,656,8
Breisgau-Hochschwarzwald,Baden-Württemberg,2020-10-22T00:00:00+02:00,1803,73
Böblingen,Baden-Württemberg,2020-10-22T00:00:00+02:00,2685,51
Calw,Baden-Württemberg,2020-10-22T00:00:00+02:00,1100,29
Emmendingen,Baden-Württemberg,2020-10-22T00:00:00+02:00,882,44
Enzkreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,1106,29
Esslingen,Baden-Württemberg,2020-10-22T00:00:00+02:00,3922,125
Freiburg im Breisgau,Baden-Württemberg,2020-10-22T00:00:00+02:00,1554,80
Freudenstadt,Baden-Württemberg,2020-10-22T00:00:00+02:00,758,39
Göppingen,Baden-Württemberg,2020-10-22T00:00:00+02:00,1543,41
Heidelberg,Baden-Württemberg,2020-10-22T00:00:00+02:00,680,7
Heidenheim,Baden-Württemberg,2020-10-22T00:00:00+02:00,726,41
Heilbronn,Baden-Württemberg,2020-10-22T00:00:00+02:00,1000,17
Heilbronn,Baden-Württemberg,2020-10-22T00:00:00+02:00,1683,45
Hohenlohekreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,959,47
Karlsruhe,Baden-Württemberg,2020-10-22T00:00:00+02:00,957,14
Karlsruhe,Baden-Württemberg,2020-10-22T00:00:00+02:00,1848,96
Konstanz,Baden-Württemberg,2020-10-22T00:00:00+02:00,965,17
Ludwigsburg,Baden-Württemberg,2020-10-22T00:00:00+02:00,3681,83
Lörrach,Baden-Württemberg,2020-10-22T00:00:00+02:00,1055,65
Main-Tauber-Kreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,744,11
Mannheim,Baden-Württemberg,2020-10-22T00:00:00+02:00,1633,14
Neckar-Odenwald-Kreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,695,24
Ortenaukreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,2124,127
Ostalbkreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,2152,45
Pforzheim,Baden-Württemberg,2020-10-22T00:00:00+02:00,755,10
Rastatt,Baden-Württemberg,2020-10-22T00:00:00+02:00,918,19
Ravensburg,Baden-Württemberg,2020-10-22T00:00:00+02:00,1051,7
Rems-Murr-Kreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,2814,100
Reutlingen,Baden-Württemberg,2020-10-22T00:00:00+02:00,2300,82
Rhein-Neckar-Kreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,2072,41
Rottweil,Baden-Württemberg,2020-10-22T00:00:00+02:00,893,26
Schwarzwald-Baar-Kreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,926,35
Schwäbisch Hall,Baden-Württemberg,2020-10-22T00:00:00+02:00,1386,60
Sigmaringen,Baden-Württemberg,2020-10-22T00:00:00+02:00,967,36
Stuttgart,Baden-Württemberg,2020-10-22T00:00:00+02:00,4208,70
Tuttlingen,Baden-Württemberg,2020-10-22T00:00:00+02:00,761,25
Tübingen,Baden-Württemberg,2020-10-22T00:00:00+02:00,1846,60
Ulm,Baden-Württemberg,2020-10-22T00:00:00+02:00,781,11
Waldshut,Baden-Württemberg,2020-10-22T00:00:00+02:00,538,35
Zollernalbkreis,Baden-Württemberg,2020-10-22T00:00:00+02:00,1517,78
Aichach-Friedberg,Bayern,2020-10-22T00:00:00+02:00,624,20
Altötting,Bayern,2020-10-22T00:00:00+02:00,792,57
Amberg,Bayern,2020-10-22T00:00:00+02:00,165,4
Amberg-Sulzbach,Bayern,2020-10-22T00:00:00+02:00,590,54
Ansbach,Bayern,2020-10-22T00:00:00+02:00,216,8
Ansbach,Bayern,2020-10-22T00:00:00+02:00,819,28
Aschaffenburg,Bayern,2020-10-22T00:00:00+02:00,238,1
Aschaffenburg,Bayern,2020-10-22T00:00:00+02:00,848,42
Augsburg,Bayern,2020-10-22T00:00:00+02:00,1686,17
Augsburg,Bayern,2020-10-22T00:00:00+02:00,1081,13
Bad Kissingen,Bayern,2020-10-22T00:00:00+02:00,327,18
Bad Tölz-Wolfratshausen,Bayern,2020-10-22T00:00:00+02:00,737,10
Bamberg,Bayern,2020-10-22T00:00:00+02:00,306,22
Bamberg,Bayern,2020-10-22T00:00:00+02:00,621,38
Bayreuth,Bayern,2020-10-22T00:00:00+02:00,334,11
Bayreuth,Bayern,2020-10-22T00:00:00+02:00,504,28
Berchtesgadener Land,Bayern,2020-10-22T00:00:00+02:00,877,25
Cham,Bayern,2020-10-22T00:00:00+02:00,669,21
Coburg,Bayern,2020-10-22T00:00:00+02:00,171,4
Coburg,Bayern,2020-10-22T00:00:00+02:00,488,30
Dachau,Bayern,2020-10-22T00:00:00+02:00,1469,35
Deggendorf,Bayern,2020-10-22T00:00:00+02:00,590,20
Dillingen a.d. Donau,Bayern,2020-10-22T00:00:00+02:00,442,29
Dingolfing-Landau,Bayern,2020-10-22T00:00:00+02:00,1070,11
Donau-Ries,Bayern,2020-10-22T00:00:00+02:00,639,26
Ebersberg,Bayern,2020-10-22T00:00:00+02:00,971,7
Eichstätt,Bayern,2020-10-22T00:00:00+02:00,531,20
Erding,Bayern,2020-10-22T00:00:00+02:00,972,11
Erlangen,Bayern,2020-10-22T00:00:00+02:00,480,12
Erlangen-Höchstadt,Bayern,2020-10-22T00:00:00+02:00,467,11
Forchheim,Bayern,2020-10-22T00:00:00+02:00,363,4
Freising,Bayern,2020-10-22T00:00:00+02:00,1509,48
Freyung-Grafenau,Bayern,2020-10-22T00:00:00+02:00,303,14
Fürstenfeldbruck,Bayern,2020-10-22T00:00:00+02:00,1808,38
Fürth,Bayern,2020-10-22T00:00:00+02:00,718,38
Fürth,Bayern,2020-10-22T00:00:00+02:00,732,60
Garmisch-Partenkirchen,Bayern,2020-10-22T00:00:00+02:00,467,20
Günzburg,Bayern,2020-10-22T00:00:00+02:00,549,4
Haßberge,Bayern,2020-10-22T00:00:00+02:00,296,6
Hof,Bayern,2020-10-22T00:00:00+02:00,210,5
Hof,Bayern,2020-10-22T00:00:00+02:00,595,32
Ingolstadt,Bayern,2020-10-22T00:00:00+02:00,974,39
Kaufbeuren,Bayern,2020-10-22T00:00:00+02:00,238,10
Kelheim,Bayern,2020-10-22T00:00:00+02:00,736,36
Kempten (Allgäu),Bayern,2020-10-22T00:00:00+02:00,238,10
Kitzingen,Bayern,2020-10-22T00:00:00+02:00,363,4
Kronach,Bayern,2020-10-22T00:00:00+02:00,219,3
Kulmbach,Bayern,2020-10-22T00:00:00+02:00,354,11
Landsberg am Lech,Bayern,2020-10-22T00:00:00+02:00,606,10
Landshut,Bayern,2020-10-22T00:00:00+02:00,501,9
Landshut,Bayern,2020-10-22T00:00:00+02:00,1034,34
Lichtenfels,Bayern,2020-10-22T00:00:00+02:00,435,17
Lindau (Bodensee),Bayern,2020-10-22T00:00:00+02:00,399,8
Main-Spessart,Bayern,2020-10-22T00:00:00+02:00,300,6
Memmingen,Bayern,2020-10-22T00:00:00+02:00,226,2
Miesbach,Bayern,2020-10-22T00:00:00+02:00,869,11
Miltenberg,Bayern,2020-10-22T00:00:00+02:00,565,8
Mühldorf a. Inn,Bayern,2020-10-22T00:00:00+02:00,867,27
München,Bayern,2020-10-22T00:00:00+02:00,14256,237
München,Bayern,2020-10-22T00:00:00+02:00,2558,96
Neu-Ulm,Bayern,2020-10-22T00:00:00+02:00,1014,26
Neuburg-Schrobenhausen,Bayern,2020-10-22T00:00:00+02:00,552,18
Neumarkt i.d. OPf.,Bayern,2020-10-22T00:00:00+02:00,665,17
Neustadt a.d. Aisch-Bad Windsheim,Bayern,2020-10-22T00:00:00+02:00,331,6
Neustadt a.d. Waldnaab,Bayern,2020-10-22T00:00:00+02:00,1074,75
Nürnberg,Bayern,2020-10-22T00:00:00+02:00,2793,55
Nürnberger Land,Bayern,2020-10-22T00:00:00+02:00,926,44
Oberallgäu,Bayern,2020-10-22T00:00:00+02:00,396,8
Ostallgäu,Bayern,2020-10-22T00:00:00+02:00,873,40
Passau,Bayern,2020-10-22T00:00:00+02:00,285,18
Passau,Bayern,2020-10-22T00:00:00+02:00,1115,31
Pfaffenhofen a.d. Ilm,Bayern,2020-10-22T00:00:00+02:00,645,22
Regen,Bayern,2020-10-22T00:00:00+02:00,395,12
Regensburg,Bayern,2020-10-22T00:00:00+02:00,1102,10
Regensburg,Bayern,2020-10-22T00:00:00+02:00,868,17
Rhön-Grabfeld,Bayern,2020-10-22T00:00:00+02:00,341,9
Rosenheim,Bayern,2020-10-22T00:00:00+02:00,859,23
Rosenheim,Bayern,2020-10-22T00:00:00+02:00,3021,202
Roth,Bayern,2020-10-22T00:00:00+02:00,468,7
Rottal-Inn,Bayern,2020-10-22T00:00:00+02:00,1124,51
Schwabach,Bayern,2020-10-22T00:00:00+02:00,166,2
Schwandorf,Bayern,2020-10-22T00:00:00+02:00,675,21
Schweinfurt,Bayern,2020-10-22T00:00:00+02:00,362,19
Schweinfurt,Bayern,2020-10-22T00:00:00+02:00,907,25
Starnberg,Bayern,2020-10-22T00:00:00+02:00,951,13
Straubing,Bayern,2020-10-22T00:00:00+02:00,549,48
Straubing-Bogen,Bayern,2020-10-22T00:00:00+02:00,691,29
Tirschenreuth,Bayern,2020-10-22T00:00:00+02:00,1334,142
Traunstein,Bayern,2020-10-22T00:00:00+02:00,1633,88
Unterallgäu,Bayern,2020-10-22T00:00:00+02:00,667,18
Weiden i.d. OPf.,Bayern,2020-10-22T00:00:00+02:00,493,20
Weilheim-Schongau,Bayern,2020-10-22T00:00:00+02:00,653,3
Weißenburg-Gunzenhausen,Bayern,2020-10-22T00:00:00+02:00,516,25
Wunsiedel i. Fichtelgebirge,Bayern,2020-10-22T00:00:00+02:00,850,46
Würzburg,Bayern,2020-10-22T00:00:00+02:00,982,52
Würzburg,Bayern,2020-10-22T00:00:00+02:00,802,7
Berlin Charlottenburg-Wilmersdorf,Berlin,2020-10-22T00:00:00+02:00,2193,23
Berlin Friedrichshain-Kreuzberg,Berlin,2020-10-22T00:00:00+02:00,2346,10
Berlin Lichtenberg,Berlin,2020-10-22T00:00:00+02:00,1130,15
Berlin Marzahn-Hellersdorf,Berlin,2020-10-22T00:00:00+02:00,938,8
Berlin Mitte,Berlin,2020-10-22T00:00:00+02:00,3883,21
Berlin Neukölln,Berlin,2020-10-22T00:00:00+02:00,3557,45
Berlin Pankow,Berlin,2020-10-22T00:00:00+02:00,1808,38
Berlin Reinickendorf,Berlin,2020-10-22T00:00:00+02:00,1697,22
Berlin Spandau,Berlin,2020-10-22T00:00:00+02:00,1255,9
Berlin Steglitz-Zehlendorf,Berlin,2020-10-22T00:00:00+02:00,1476,13
Berlin Tempelhof-Schöneberg,Berlin,2020-10-22T00:00:00+02:00,2498,28
Berlin Treptow-Köpenick,Berlin,2020-10-22T00:00:00+02:00,917,11
Barnim,Brandenburg,2020-10-22T00:00:00+02:00,570,29
Brandenburg an der Havel,Brandenburg,2020-10-22T00:00:00+02:00,102,1
Cottbus,Brandenburg,2020-10-22T00:00:00+02:00,179,2
Dahme-Spreewald,Brandenburg,2020-10-22T00:00:00+02:00,443,8
Elbe-Elster,Brandenburg,2020-10-22T00:00:00+02:00,168,3
Frankfurt (Oder),Brandenburg,2020-10-22T00:00:00+02:00,117,0
Havelland,Brandenburg,2020-10-22T00:00:00+02:00,367,6
Märkisch-Oderland,Brandenburg,2020-10-22T00:00:00+02:00,396,6
Oberhavel,Brandenburg,2020-10-22T00:00:00+02:00,534,10
Oberspreewald-Lausitz,Brandenburg,2020-10-22T00:00:00+02:00,148,2
Oder-Spree,Brandenburg,2020-10-22T00:00:00+02:00,395,5
Ostprignitz-Ruppin,Brandenburg,2020-10-22T00:00:00+02:00,151,0
Potsdam,Brandenburg,2020-10-22T00:00:00+02:00,840,51
Potsdam-Mittelmark,Brandenburg,2020-10-22T00:00:00+02:00,798,38
Prignitz,Brandenburg,2020-10-22T00:00:00+02:00,105,0
Spree-Neiße,Brandenburg,2020-10-22T00:00:00+02:00,178,0
Teltow-Fläming,Brandenburg,2020-10-22T00:00:00+02:00,377,13
Uckermark,Brandenburg,2020-10-22T00:00:00+02:00,80,3
Bremen,Bremen,2020-10-22T00:00:00+02:00,3545,55
Bremerhaven,Bremen,2020-10-22T00:00:00+02:00,323,8
Hamburg,Hamburg,2020-10-22T00:00:00+02:00,10407,282
Bergstraße,Hessen,2020-10-22T00:00:00+02:00,966,3
Darmstadt,Hessen,2020-10-22T00:00:00+02:00,702,18
Darmstadt-Dieburg,Hessen,2020-10-22T00:00:00+02:00,1073,22
Frankfurt am Main,Hessen,2020-10-22T00:00:00+02:00,5583,82
Fulda,Hessen,2020-10-22T00:00:00+02:00,769,17
Gießen,Hessen,2020-10-22T00:00:00+02:00,800,6
Groß-Gerau,Hessen,2020-10-22T00:00:00+02:00,1755,22
Hersfeld-Rotenburg,Hessen,2020-10-22T00:00:00+02:00,427,23
Hochtaunuskreis,Hessen,2020-10-22T00:00:00+02:00,878,8
Kassel,Hessen,2020-10-22T00:00:00+02:00,957,9
Kassel,Hessen,2020-10-22T00:00:00+02:00,778,32
Lahn-Dill-Kreis,Hessen,2020-10-22T00:00:00+02:00,838,24
Limburg-Weilburg,Hessen,2020-10-22T00:00:00+02:00,647,7
Main-Kinzig-Kreis,Hessen,2020-10-22T00:00:00+02:00,1947,55
Main-Taunus-Kreis,Hessen,2020-10-22T00:00:00+02:00,1155,20
