Area,Date,Confirmed,Deaths
Baden-Württemberg,2020-03-08T15:00:00+01:00,182,0
Bayern,2020-03-08T15:00:00+01:00,172,0
Berlin,2020-03-08T15:00:00+01:00,40,0
Brandenburg,2020-03-08T15:00:00+01:00,4,0
Bremen,2020-03-08T15:00:00+01:00,4,0
Hamburg,2020-03-08T15:00:00+01:00,13,0
Hessen,2020-03-08T15:00:00+01:00,19,0
Mecklenburg-Vorpommern,2020-03-08T15:00:00+01:00,8,0
Niedersachsen,2020-03-08T15:00:00+01:00,21,0
Nordrhein-Westfalen,2020-03-08T15:00:00+01:00,398,0
Rheinland-Pfalz,2020-03-08T15:00:00+01:00,19,0
Saarland,2020-03-08T15:00:00+01:00,9,0
Sachsen,2020-03-08T15:00:00+01:00,4,0
Schleswig-Holstein,2020-03-08T15:00:00+01:00,7,0
Thüringen,2020-03-08T15:00:00+01:00,2,0
