Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-20T00:00:00+01:00,2746,10
Bayern,2020-03-20T00:00:00+01:00,2401,12
Berlin,2020-03-20T00:00:00+01:00,731,0
Brandenburg,2020-03-20T00:00:00+01:00,192,0
Bremen,2020-03-20T00:00:00+01:00,121,0
Hamburg,2020-03-20T00:00:00+01:00,586,0
Hessen,2020-03-20T00:00:00+01:00,813,1
Mecklenburg-Vorpommern,2020-03-20T00:00:00+01:00,131,0
Niedersachsen,2020-03-20T00:00:00+01:00,803,0
Nordrhein-Westfalen,2020-03-20T00:00:00+01:00,3497,6
Rheinland-Pfalz,2020-03-20T00:00:00+01:00,801,1
Saarland,2020-03-20T00:00:00+01:00,146,0
Sachsen,2020-03-20T00:00:00+01:00,394,0
Sachsen-Anhalt,2020-03-20T00:00:00+01:00,180,0
Schleswig-Holstein,2020-03-20T00:00:00+01:00,266,1
Thüringen,2020-03-20T00:00:00+01:00,149,0
