Area,Region,Date,Confirmed
Auvergne-Rhône-Alpes,Métropole,2020-03-20 14:00:00+01:00,1101
Bourgogne-Franche-Comté,Métropole,2020-03-20 14:00:00+01:00,770
Bretagne,Métropole,2020-03-20 14:00:00+01:00,346
Centre-Val de Loire,Métropole,2020-03-20 14:00:00+01:00,219
Corse,Métropole,2020-03-20 14:00:00+01:00,168
Grand Est,Métropole,2020-03-20 14:00:00+01:00,3006
Hauts-de-France,Métropole,2020-03-20 14:00:00+01:00,759
Ile-de-France,Métropole,2020-03-20 14:00:00+01:00,3818
Normandie,Métropole,2020-03-20 14:00:00+01:00,287
Nouvelle-Aquitaine,Métropole,2020-03-20 14:00:00+01:00,432
Occitanie,Métropole,2020-03-20 14:00:00+01:00,537
Pays de la Loire,Métropole,2020-03-20 14:00:00+01:00,190
Provence-Alpes-Côte d’Azur,Métropole,2020-03-20 14:00:00+01:00,826
Guadeloupe,Outre Mer,2020-03-20 14:00:00+01:00,51
Saint-Barthélémy,Outre Mer,2020-03-20 14:00:00+01:00,3
Saint-Martin,Outre Mer,2020-03-20 14:00:00+01:00,4
Guyane,Outre Mer,2020-03-20 14:00:00+01:00,15
Martinique,Outre Mer,2020-03-20 14:00:00+01:00,32
Mayotte,Outre Mer,2020-03-20 14:00:00+01:00,7
La Réunion,Outre Mer,2020-03-20 14:00:00+01:00,38
