Area,Timestamp,Confirmed
Blekinge,2020-05-04T11:30:00+02:00,74
Dalarna,2020-05-04T11:30:00+02:00,867
Gotland,2020-05-04T11:30:00+02:00,60
Gävleborg,2020-05-04T11:30:00+02:00,655
Halland,2020-05-04T11:30:00+02:00,394
Jämtland,2020-05-04T11:30:00+02:00,358
Jönköping,2020-05-04T11:30:00+02:00,862
Kalmar,2020-05-04T11:30:00+02:00,196
Kronoberg,2020-05-04T11:30:00+02:00,358
Norrbotten,2020-05-04T11:30:00+02:00,273
Skåne,2020-05-04T11:30:00+02:00,895
Stockholm,2020-05-04T11:30:00+02:00,8632
Södermanland,2020-05-04T11:30:00+02:00,1289
Uppsala,2020-05-04T11:30:00+02:00,1089
Värmland,2020-05-04T11:30:00+02:00,213
Västerbotten,2020-05-04T11:30:00+02:00,331
Västernorrland,2020-05-04T11:30:00+02:00,278
Västmanland,2020-05-04T11:30:00+02:00,813
Västra Götaland,2020-05-04T11:30:00+02:00,2785
Örebro,2020-05-04T11:30:00+02:00,1127
Östergötland,2020-05-04T11:30:00+02:00,1507
