Code,UTLA,NHSRegion,Region,Timestamp,Confirmed
E09000002,Barking and Dagenham,London,London,2020-04-01T23:59:00+01:00,130
E09000003,Barnet,London,London,2020-04-01T23:59:00+01:00,468
E08000016,Barnsley,Yorkshire and The Humber,Yorkshire and The Humber,2020-04-01T23:59:00+01:00,122
E06000022,Bath and North East Somerset,South West,South West,2020-04-01T23:59:00+01:00,45
E06000055,Bedford,East of England,East of England,2020-04-01T23:59:00+01:00,60
E09000004,Bexley,London,London,2020-04-01T23:59:00+01:00,147
E08000025,Birmingham,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,734
E06000008,Blackburn with Darwen,North West,North West,2020-04-01T23:59:00+01:00,25
E06000009,Blackpool,North West,North West,2020-04-01T23:59:00+01:00,27
E08000001,Bolton,North West,North West,2020-04-01T23:59:00+01:00,51
E06000058,"Bournemouth, Christchurch and Poole",South West,South West,2020-04-01T23:59:00+01:00,58
E06000036,Bracknell Forest,South East,South East,2020-04-01T23:59:00+01:00,35
E08000032,Bradford,Yorkshire and The Humber,Yorkshire and The Humber,2020-04-01T23:59:00+01:00,95
E09000005,Brent,London,London,2020-04-01T23:59:00+01:00,506
E06000043,Brighton and Hove,South East,South East,2020-04-01T23:59:00+01:00,49
E06000023,"Bristol, City of",South West,South West,2020-04-01T23:59:00+01:00,117
E09000006,Bromley,London,London,2020-04-01T23:59:00+01:00,321
E10000002,Buckinghamshire,South East,South East,2020-04-01T23:59:00+01:00,195
E08000002,Bury,North West,North West,2020-04-01T23:59:00+01:00,75
E08000033,Calderdale,Yorkshire and The Humber,Yorkshire and The Humber,2020-04-01T23:59:00+01:00,54
E10000003,Cambridgeshire,East of England,East of England,2020-04-01T23:59:00+01:00,141
E09000007,Camden,London,London,2020-04-01T23:59:00+01:00,212
E06000056,Central Bedfordshire,East of England,East of England,2020-04-01T23:59:00+01:00,81
E06000049,Cheshire East,North West,North West,2020-04-01T23:59:00+01:00,76
E06000050,Cheshire West and Chester,North West,North West,2020-04-01T23:59:00+01:00,65
