Code,UTLA,Region,Timestamp,Confirmed
E09000002,Barking and Dagenham,London,2020-06-03 13:01:19.880302+00:00,497
E09000003,Barnet,London,2020-06-03 13:01:19.880302+00:00,1299
E08000025,Birmingham,West Midlands,2020-06-03 13:01:19.880302+00:00,3242
E08000001,Bolton,North West,2020-06-03 13:01:19.880302+00:00,1025
E09000005,Brent,London,2020-06-03 13:01:19.880302+00:00,1478
E09000007,Camden,London,2020-06-03 13:01:19.880302+00:00,628
E06000056,Central Bedfordshire,East of England,2020-06-03 13:01:19.880302+00:00,651
E06000050,Cheshire West and Chester,North West,2020-06-03 13:01:19.880302+00:00,1157
E06000005,Darlington,North East,2020-06-03 13:01:19.880302+00:00,391
E09000009,Ealing,London,2020-06-03 13:01:19.880302+00:00,1204
E09000012,Hackney,London,2020-06-03 13:01:19.880302+00:00,651
E09000015,Harrow,London,2020-06-03 13:01:19.880302+00:00,1032
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,735
E10000017,Lancashire,North West,2020-06-03 13:01:19.880302+00:00,3653
E08000035,Leeds,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,1843
E09000023,Lewisham,London,2020-06-03 13:01:19.880302+00:00,986
E08000012,Liverpool,North West,2020-06-03 13:01:19.880302+00:00,1633
E06000002,Middlesbrough,North East,2020-06-03 13:01:19.880302+00:00,678
E06000042,Milton Keynes,South East,2020-06-03 13:01:19.880302+00:00,510
E10000023,North Yorkshire,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,1311
E06000018,Nottingham,East Midlands,2020-06-03 13:01:19.880302+00:00,613
E06000026,Plymouth,South West,2020-06-03 13:01:19.880302+00:00,359
E06000038,Reading,South East,2020-06-03 13:01:19.880302+00:00,587
E08000006,Salford,North West,2020-06-03 13:01:19.880302+00:00,938
E08000014,Sefton,North West,2020-06-03 13:01:19.880302+00:00,934
E06000051,Shropshire,West Midlands,2020-06-03 13:01:19.880302+00:00,802
E06000039,Slough,South East,2020-06-03 13:01:19.880302+00:00,454
E10000027,Somerset,South West,2020-06-03 13:01:19.880302+00:00,745
E08000007,Stockport,North West,2020-06-03 13:01:19.880302+00:00,1055
E06000004,Stockton-on-Tees,North East,2020-06-03 13:01:19.880302+00:00,602
E08000024,Sunderland,North East,2020-06-03 13:01:19.880302+00:00,1381
E06000007,Warrington,North West,2020-06-03 13:01:19.880302+00:00,776
E10000032,West Sussex,South East,2020-06-03 13:01:19.880302+00:00,1331
E06000054,Wiltshire,South West,2020-06-03 13:01:19.880302+00:00,535
E06000040,Windsor and Maidenhead,South East,2020-06-03 13:01:19.880302+00:00,292
E08000015,Wirral,North West,2020-06-03 13:01:19.880302+00:00,1301
