Area,Date,Confirmed,Deaths
AK,2020-04-09 16:00:00-04:00,235,7
AL,2020-04-09 00:00:00-04:00,2769,74
AR,2020-04-09 14:35:00-04:00,1119,21
AZ,2020-04-09 00:00:00-04:00,3018,89
CA,2020-04-08 19:00:00-04:00,18309,492
CO,2020-04-08 18:00:00-04:00,5655,193
CT,2020-04-09 16:00:00-04:00,9784,380
DC,2020-04-08 00:00:00-04:00,1523,32
DE,2020-04-09 17:00:00-04:00,1207,23
FL,2020-04-09 10:00:00-04:00,16364,354
GA,2020-04-09 11:54:00-04:00,10566,379
HI,2020-04-08 18:00:00-04:00,435,5
IA,2020-04-09 00:00:00-04:00,1270,29
ID,2020-04-08 19:00:00-04:00,1232,18
IL,2020-04-09 00:00:00-04:00,16422,528
IN,2020-04-08 23:59:00-04:00,6351,245
KS,2020-04-09 12:00:00-04:00,1106,42
KY,2020-04-08 17:00:00-04:00,1346,73
LA,2020-04-09 13:00:00-04:00,18283,702
MA,2020-04-09 12:30:00-04:00,18941,503
MD,2020-04-09 10:00:00-04:00,6185,138
ME,2020-04-09 11:00:00-04:00,560,16
MI,2020-04-09 11:00:00-04:00,21504,1076
MN,2020-04-09 12:00:00-04:00,1242,50
MO,2020-04-09 15:00:00-04:00,3539,77
MS,2020-04-08 00:00:00-04:00,2260,76
MT,2020-04-09 13:33:00-04:00,354,6
NC,2020-04-09 11:00:00-04:00,3651,65
ND,2020-04-09 13:00:00-04:00,269,5
NE,2020-04-09 13:36:00-04:00,567,14
NH,2020-04-08 09:00:00-04:00,788,18
NJ,2020-04-09 08:00:00-04:00,51027,1700
NM,2020-04-08 00:00:00-04:00,865,16
NV,2020-04-09 09:30:00-04:00,2456,80
NY,2020-04-09 00:00:00-04:00,159937,7067
OH,2020-04-09 14:00:00-04:00,5512,213
OK,2020-04-09 08:00:00-04:00,1684,80
OR,2020-04-09 11:00:00-04:00,1321,44
PA,2020-04-09 12:00:00-04:00,18228,338
RI,2020-04-09 15:32:00-04:00,1727,43
SC,2020-04-09 16:08:00-04:00,2792,67
SD,2020-04-08 18:00:00-04:00,447,6
TN,2020-04-09 15:00:00-04:00,4634,94
TX,2020-04-09 13:15:00-04:00,10230,199
UT,2020-04-09 15:00:00-04:00,1976,13
VA,2020-04-09 00:00:00-04:00,4042,109
VT,2020-04-09 09:30:00-04:00,628,23
WA,2020-04-08 18:30:00-04:00,9097,421
WI,2020-04-09 16:00:00-04:00,2885,111
WV,2020-04-09 17:00:00-04:00,523,5
WY,2020-04-08 16:59:00-04:00,230,0
PR,2020-04-09 07:00:00-04:00,683,33
AS,2020-04-06 16:00:00-04:00,0,0
GU,2020-04-09 08:00:00-04:00,128,4
MP,2020-04-08 00:00:00-04:00,11,2
VI,2020-04-08 22:00:00-04:00,46,1
